on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
31 STREET                       ,38,1,39
9 AVENUE                        ,39,0,39
FOSTER AVENUE                   ,39,0,39
KISSENA BOULEVARD               ,38,0,38
150 STREET                      ,38,0,38
108 STREET                      ,37,1,38
SAINT JOHNS PLACE               ,38,0,38
GLENWOOD ROAD                   ,38,0,38
WEST 125 STREET                 ,37,0,37
WEST SHORE EXPRESSWAY           ,37,0,37
RICHMOND TERRACE                ,37,0,37
EMPIRE BOULEVARD                ,37,0,37
KNICKERBOCKER AVENUE            ,37,0,37
EAST NEW YORK AVENUE            ,37,0,37
31 AVENUE                       ,35,1,36
BROOKLYN QUEENS EXPRESSWAY RAMP ,36,0,36
CLARENDON ROAD                  ,36,0,36
SARATOGA AVENUE                 ,36,0,36
CENTRAL AVENUE                  ,35,1,36
VERRAZANO BRIDGE LOWER          ,36,0,36
HEGEMAN AVENUE                  ,36,0,36
WEST STREET                     ,35,0,35
BAY PARKWAY                     ,35,0,35
RIVERSIDE DRIVE                 ,35,0,35
MC DONALD AVENUE                ,35,0,35
SNYDER AVENUE                   ,35,0,35
WINTHROP STREET                 ,34,1,35
CASTLE HILL AVENUE              ,35,0,35
PROSPECT EXPRESSWAY EAST        ,34,0,34
BROOKVILLE BOULEVARD            ,34,0,34
HOWARD AVENUE                   ,34,0,34
WILSON AVENUE                   ,34,0,34
NEPTUNE AVENUE                  ,34,0,34
BREWER BOULEVARD                ,33,0,33
EAST 180 STREET                 ,33,0,33
CROPSEY AVENUE                  ,33,0,33
NEW LOTS AVENUE                 ,33,0,33
DUMONT AVENUE                   ,32,0,32
BLAKE AVENUE                    ,32,0,32
VERNON BOULEVARD                ,32,0,32
EAST 116 STREET                 ,32,0,32
JUNCTION BOULEVARD              ,32,0,32
FLATBUSH AVENUE EXTENSION       ,32,0,32
69 STREET                       ,32,0,32
AVENUE U                        ,32,0,32
LEFFERTS BOULEVARD              ,32,0,32
ALLERTON AVENUE                 ,32,0,32
STILLWELL AVENUE                ,31,0,31
60 STREET                       ,31,0,31
AVENUE D                        ,31,0,31
SEDGWICK AVENUE                 ,30,1,31
WEST 155 STREET                 ,30,1,31
CRESCENT STREET                 ,31,0,31
EAST 125 STREET                 ,31,0,31
ELIOT AVENUE                    ,31,0,31
LACONIA AVENUE                  ,31,0,31
21 AVENUE                       ,30,0,30
AVENUE M                        ,30,0,30
ROCKAWAY BEACH BOULEVARD        ,30,0,30
BOYLAND STREET                  ,30,0,30
EAST 174 STREET                 ,29,1,30
EAST 163 STREET                 ,30,0,30
EAST 165 STREET                 ,30,0,30
SEAGIRT BOULEVARD               ,28,1,29
35 AVENUE                       ,28,1,29
111 AVENUE                      ,29,0,29
EAST 96 STREET                  ,29,0,29
LIVONIA AVENUE                  ,29,0,29
SHORE PARKWAY                   ,28,0,28
115 AVENUE                      ,28,0,28
CROSS BRONX EXPY RAMP           ,27,1,28
SUTPHIN BOULEVARD               ,28,0,28
WEST 34 STREET                  ,28,0,28
UTOPIA PARKWAY                  ,28,0,28
6 AVENUE                        ,28,0,28
AVENUE T                        ,28,0,28
VANDERBILT AVENUE               ,28,0,28
SOUTH AVENUE                    ,28,0,28
EAST 80 STREET                  ,28,0,28
120 AVENUE                      ,28,0,28
FRANKLIN AVENUE                 ,28,0,28
99 STREET                       ,26,1,27
AVENUE N                        ,26,1,27
MANHATTAN AVENUE                ,27,0,27
37 AVENUE                       ,27,0,27
AVENUE K                        ,27,0,27
135 AVENUE                      ,26,1,27
HEMPSTEAD AVENUE                ,26,0,26
CENTRAL PARK WEST               ,26,0,26
GATES AVENUE                    ,26,0,26
18 AVENUE                       ,26,0,26
12 AVENUE                       ,26,0,26
WILLIAMSBURG BRIDGE OUTER ROADWA,26,0,26
BAY STREET                      ,26,0,26
HAMILTON AVENUE                 ,26,0,26
SURF AVENUE                     ,25,0,25
WEST 207 STREET                 ,25,0,25
CORTELYOU ROAD                  ,24,1,25
BROOK AVENUE                    ,25,0,25
UNION STREET                    ,25,0,25
111 STREET                      ,25,0,25
BELT PARKWAY RAMP               ,25,0,25
GRAHAM AVENUE                   ,25,0,25
SAINT ANNS AVENUE               ,25,0,25
RIVER AVENUE                    ,24,0,24
ROCHESTER AVENUE                ,24,0,24
CLARKSON AVENUE                 ,24,0,24
EASTCHESTER ROAD                ,24,0,24
